comparison,unit,domain,n,bias,mae,rmse,corr
raw ANG deg,deg,baseline_window,100,2.686444258658022,2.725444188987975,2.91567160680076,0.9120391976682408
delta ANG deg,deg,baseline_window,100,0.09115825368203251,0.7705218322551127,1.1368676224793435,0.9120391976682408
raw ANG deg,deg,high_angle_contraction_like,667,2.2383469891344823,2.254406726394039,2.448883335113031,0.7529753180234678
delta ANG deg,deg,high_angle_contraction_like,667,-0.356939015841507,0.8552742414648636,1.0555746332007143,0.7529753180234677
raw PEN deg,deg,baseline_window,100,2.2585737451602625,2.301749123923088,2.5253426556134593,0.8775121678123176
delta PEN deg,deg,baseline_window,100,-0.10716154398148352,0.8187969900707815,1.1347615443087944,0.8775121678123173
raw PEN deg,deg,high_angle_contraction_like,667,1.5438106908097995,1.6026117401771618,1.8568545835966916,0.6899018549063436
delta PEN deg,deg,high_angle_contraction_like,667,-0.8219245983319464,1.0602161427875718,1.3191351488412948,0.6899018549063434
raw FL mm,mm,baseline_window,100,-5.747583324204351,5.897972335386851,6.731048939674233,0.8710967569133128
delta FL mm,mm,baseline_window,100,-0.9188946103150863,2.632615259376122,3.6216947779297755,0.871096756913313
raw FL mm,mm,high_angle_contraction_like,667,-4.211835619867218,4.215113070752404,4.440772878211066,0.7171839440334141
delta FL mm,mm,high_angle_contraction_like,667,0.6168530940220459,1.2100716558987747,1.5366887149573556,0.7171839440334138
