signal,domain,window,n,bias_median_py_minus_mat,mae,median_abs_error,rmse,q95_abs_error,corr,working_threshold,strict_threshold,working_gate,strict_gate
ANG_deg,absolute,full,2664,-1.1665219680472099,3.1195313176031854,2.749504148870079,3.849178095149548,7.565045869771651,0.6396266751434029,3.0,2.0,pass,review
ANG_deg,baseline_delta,full,2664,-2.6516538716588443,3.627722696635996,2.6516538716588443,4.635411812710745,9.050177773383286,0.6396266751434029,3.0,2.0,pass,review
ANG_deg,absolute,baseline_first_2s,67,1.4851319036116344,1.5304049527068078,1.5038462773371002,1.6407146077533372,2.782487911486235,0.28910062693777183,3.0,2.0,pass,pass
ANG_deg,baseline_delta,baseline_first_2s,67,0.0,1.1257000279503941,0.029346406805739633,1.9429750317393062,4.26761981509787,0.28910062693777194,3.0,2.0,pass,pass
ANG_deg,absolute,matlab_high_contraction,560,-1.9660267831872122,2.986395094527246,2.010099596988791,4.00695172041776,8.080886975638272,0.46688039488982097,3.0,2.0,pass,review
ANG_deg,baseline_delta,matlab_high_contraction,560,-3.4511586867988466,4.361802791169666,3.4511586867988466,5.17555393156917,9.566018879249906,0.4668803948898212,3.0,2.0,review,review
PEN_deg,absolute,full,2664,-1.2654187691779981,3.002388272145505,2.4691682988252506,3.738907304035374,7.465411607556521,0.6294066068678681,3.0,2.0,pass,review
PEN_deg,baseline_delta,full,2664,-2.1911455154246227,3.304812235064209,2.393188920699618,4.222587814254837,8.391138353803145,0.6294066068678682,3.0,2.0,pass,review
PEN_deg,absolute,baseline_first_2s,67,0.9030724332144047,1.0839874890102423,0.9524993914873292,1.2039130767051047,2.365894020197206,0.2889930319106339,3.0,2.0,pass,pass
PEN_deg,baseline_delta,baseline_first_2s,67,-0.022654313032219875,0.7856406038550775,0.05989961334125837,1.4042632234686638,3.2916207664438306,0.2889930319106339,3.0,2.0,pass,pass
PEN_deg,absolute,matlab_high_contraction,560,-2.481125573589175,3.249413789317224,2.481125573589175,4.163396397064371,8.113404895562807,0.40395724911070985,3.0,2.0,pass,review
PEN_deg,baseline_delta,matlab_high_contraction,560,-3.4068523198357994,4.123381054472602,3.4068523198357994,4.90901962304881,9.039131641809432,0.4039572491107098,3.0,2.0,review,review
FL_mm,absolute,full,2664,1.2347838775955005,6.775571930247283,6.928372008645443,8.118469006798612,14.215329983803242,0.555634325530749,7.0,5.0,pass,review
FL_mm,baseline_delta,full,2664,6.258339585674545,8.416662380767953,6.307056456410205,10.42438934726095,19.238885691882285,0.555634325530749,7.0,5.0,pass,review
FL_mm,absolute,baseline_first_2s,67,-5.010568404682033,4.858405148667079,5.082255295426805,5.149362711776639,7.820572402980201,0.271137419605632,7.0,5.0,pass,review
FL_mm,baseline_delta,baseline_first_2s,67,0.012987303397011374,3.5536581975690282,0.12936217764453772,6.01513227407855,12.844128111059245,0.271137419605632,7.0,5.0,pass,pass
FL_mm,absolute,matlab_high_contraction,560,1.2974961156799978,4.456316727461116,2.056028534231263,6.654022401263913,14.157003440427887,0.5187061565727578,7.0,5.0,pass,pass
FL_mm,baseline_delta,matlab_high_contraction,560,6.321051823759042,8.727186222820531,6.321051823759042,10.324205469304362,19.18055914850693,0.5187061565727578,7.0,5.0,pass,review
