group,comparison,n,bias,mae,rmse,corr,median_abs_error,p95_abs_error
Notebook 33 exact-handles ROI,Fdat.Region.ANG deg,2666,-0.39597179706667135,3.1267295847858265,3.6668565580701715,0.6080707458698544,3.163886884428244,6.529156689436355
Notebook 33 exact-handles ROI,Fdat.Region.PEN deg,2666,-0.7174826808458059,3.00460005700874,3.5244116888134975,0.6049530855876695,2.8490643694327673,6.506077702563224
Notebook 33 exact-handles ROI,Fdat.Region.FL mm,2666,-0.4105032537043311,6.874918291361264,8.121303107570599,0.50795751733715,7.517329773985438,12.9106756609524
Notebook 33 exact-handles ROI,geofeatures.alpha deg,2666,-0.42779444861215304,3.789384846211553,4.415763636351365,0.5712376498183825,3.5,8.0
Notebook 33 exact-handles ROI,geofeatures.phi/PEN deg,2666,-0.43874527590448936,3.711044786042181,4.319355677986621,0.552039162746985,3.5508209921412455,7.94506545118558
Notebook 33 exact-handles ROI,geofeatures.faslen px,2666,-9.011454292303394,89.32098756660942,105.17462984453377,0.4751142371293009,93.17171986777296,167.47777095533257
Notebook 33 exact-handles ROI,geofeatures.betha/super deg,2666,0.010950819131910374,0.3042290580057587,0.39877119241938064,0.3900135866302879,0.23317106046702252,0.8688664489790465
Notebook 33 exact-handles ROI,geofeatures.gamma/deep deg,2666,-0.40749447306099584,0.46902998042328775,0.5851288167558943,0.44176823146663946,0.3551087169884749,1.0545565772647525
Notebook 33 exact-handles ROI,geofeatures.thickness px,2666,-0.2053263031033975,5.2178858273329745,6.274487419057589,0.3157129725375728,4.831648417184709,11.62855309181839
Notebook 35 gaussian51 filter_usimage,Fdat.Region.ANG deg,2666,-4.22399130194289,4.272615852931887,5.501060260228016,0.6535642434298056,3.5711854504762375,10.312630430479999
Notebook 35 gaussian51 filter_usimage,Fdat.Region.PEN deg,2666,-3.8850029928638894,3.927215593480637,5.103548867255986,0.6625718197953917,3.039262082811671,9.603391296175857
Notebook 35 gaussian51 filter_usimage,Fdat.Region.FL mm,2666,8.850679974899299,9.056749978258585,11.771658785421879,0.6071005869926951,7.5176976494917405,21.37965604391428
Notebook 35 gaussian51 filter_usimage,geofeatures.alpha deg,2666,-4.255813953488372,4.593398349587397,6.019504432127457,0.6070352715412886,3.75,11.5
Notebook 35 gaussian51 filter_usimage,geofeatures.phi/PEN deg,2666,-3.606265587922573,4.1098927483749526,5.483459435419418,0.6015836842938002,3.1799167437860536,10.660249763289727
Notebook 35 gaussian51 filter_usimage,geofeatures.faslen px,2666,93.64702512781409,105.15087821020067,137.17162983781614,0.5634444965370075,83.04501852766327,256.32366049641973
Notebook 35 gaussian51 filter_usimage,geofeatures.betha/super deg,2666,-0.649548431619137,0.7133647293890205,0.8759901166837841,0.056625270736129066,0.677419490057334,1.6216955882252397
Notebook 35 gaussian51 filter_usimage,geofeatures.gamma/deep deg,2666,-0.43629437252700176,0.465687842457777,0.588583841758354,0.43314748350664994,0.3515527220032971,1.0586648887769166
Notebook 35 gaussian51 filter_usimage,geofeatures.thickness px,2666,6.716241443493285,7.659477219259815,9.790469001916343,0.16278386483067078,6.095811523357952,19.158361706169785
Notebook 38 mean71 filter_usimage,Fdat.Region.ANG deg,2666,-4.3134511669091316,4.365819364099486,5.6797211114178845,0.6151148564675757,3.5951495907664164,10.577963702656639
Notebook 38 mean71 filter_usimage,Fdat.Region.PEN deg,2666,-4.309474261013378,4.335851459988764,5.550450461856437,0.6193577957076097,3.48039382604194,10.264609659450343
Notebook 38 mean71 filter_usimage,Fdat.Region.FL mm,2666,9.202873501090753,9.42836433005778,12.361215020509789,0.556540913056529,7.815068246749508,22.16350881156991
Notebook 38 mean71 filter_usimage,geofeatures.alpha deg,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,4.0,12.375
Notebook 38 mean71 filter_usimage,geofeatures.phi/PEN deg,2666,-4.030736856072061,4.424638838452614,5.907106680838279,0.5570789649772782,3.613027070568984,11.61150126902682
Notebook 38 mean71 filter_usimage,geofeatures.faslen px,2666,97.5510255839523,108.8767797952443,143.44675765428602,0.5164971235034844,85.29066110272089,269.21615465861936
Notebook 38 mean71 filter_usimage,geofeatures.betha/super deg,2666,-0.31453695077909805,0.43041459627654555,0.5720792909773786,0.1747116206507181,0.3329801064643382,1.1908359454532933
Notebook 38 mean71 filter_usimage,geofeatures.gamma/deep deg,2666,-0.36353365998997317,0.40822445366780685,0.5261076374632957,0.4805284917574059,0.3001254452719002,0.9754058863300279
Notebook 38 mean71 filter_usimage,geofeatures.thickness px,2666,3.3494276464618746,5.3459915188047695,7.085717925235746,0.3006398544305381,3.992286212372278,14.300112990683061
