comparison,n,bias,mae,rmse,corr
final_FL_mm,9,13.71040354625808,14.328663087705074,23.671804855976674,-0.9223488488899472
final_PEN_deg,9,-5.591631579353077,5.591631579353077,8.85453785259349,-0.9337705206455135
final_ANG_deg,9,-5.41569334409606,5.552439240919455,9.038245075827763,-0.9437237454201785
timtrack_alpha_deg,9,0.0,0.2222222222222222,0.408248290463863,0.9853994719031414
timtrack_phi_vs_python_pen_deg,9,-0.022934240822870322,0.22952053549578563,0.39347087199761804,0.9888121048445117
timtrack_formula_faslen_px,9,2.1481599167833565,11.347822437916989,18.476313526518577,0.9850562632796757
timtrack_gamma_deep_apo_deg,9,0.08231105927530412,0.08231106395210736,0.13799402188977125,0.9672529058998967
timtrack_betha_super_apo_deg,9,0.02293406200893528,0.05002601870436031,0.08313674570319288,0.9669599781451967
timtrack_super_pos_y1,9,1.2742742742742723,1.2742742742742723,1.4440549380246621,0.9687582504068858
timtrack_super_pos_y2,9,0.9919919919919941,0.9919919919919941,1.042094804070551,0.9673747618667594
timtrack_deep_pos_y1,9,0.6838838838838165,0.6838838838838165,1.1107059564869988,0.9561255683765959
timtrack_deep_pos_y2,9,-0.3297661297661168,0.46309946309949307,0.6252328208377569,0.9970901340755121
