variant,comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
persistent_cumulative,persistent_cumulative_x_sup_px,px,2665,8.03308545903165,13.460460633666784,15.812635055886657,0.08924063918004081,2.0,False
persistent_cumulative,persistent_cumulative_y_sup_px,px,2665,6.647129900486052,6.693206440672948,7.197614994250909,0.5465012292941702,2.0,False
persistent_cumulative,persistent_cumulative_x_deep_px,px,2665,-95.94776250335518,96.55053784380344,127.00339241071234,0.6560369979719739,2.0,False
persistent_cumulative,persistent_cumulative_y_deep_px,px,2665,-9.810201814983639,10.12126484219315,11.497770826985816,-0.09501581404738906,2.0,False
persistent_cumulative,persistent_cumulative_angle_deg,deg,2665,-5.072718800249771,5.073425693773387,6.11932925350646,0.709487731281808,1.0,False
persistent_cumulative,persistent_cumulative_length_px,px,2665,88.44818503122791,94.17415350280092,121.03839111234336,0.6430253210639048,22.16962524654832,False
persistent_cumulative,persistent_cumulative_length_mm,mm,2665,7.979222386269138,8.495782175430618,10.919299696433825,0.6430253210639055,2.0,False
persistent_one_step,persistent_one_step_x_sup_px,px,2665,-0.0011594089766757082,0.648231490664587,1.2205761114631388,0.9951258472711707,2.0,True
persistent_one_step,persistent_one_step_y_sup_px,px,2665,0.0014967311651379591,0.1693338058368124,0.28916854616289767,0.9950455256479166,2.0,True
persistent_one_step,persistent_one_step_x_deep_px,px,2665,-0.031457102747878954,3.3889427007828226,5.802571479921983,0.998580012527401,2.0,False
persistent_one_step,persistent_one_step_y_deep_px,px,2665,-0.00713166646552213,0.3771684642487969,0.626754887167914,0.9920247897944571,2.0,True
persistent_one_step,persistent_one_step_angle_deg,deg,2665,0.0011903290073544265,0.16780581422543692,0.3051483694158685,0.9980113702443651,1.0,True
persistent_one_step,persistent_one_step_length_px,px,2665,0.03325656350493291,3.1663200781354224,5.240468800909608,0.998809851335964,22.16962524654832,True
persistent_one_step,persistent_one_step_length_mm,mm,2665,0.0030001917610322,0.28564488961114937,0.4727611533916675,0.9988098513359643,2.0,True
redetect_cumulative,redetect_cumulative_x_sup_px,px,2665,7.674537078879504,12.285133132697334,15.006496539678993,0.3504930650578277,2.0,False
redetect_cumulative,redetect_cumulative_y_sup_px,px,2665,-0.22531526435009502,3.1776066348308136,3.8481955062497426,0.7821472557419549,2.0,False
redetect_cumulative,redetect_cumulative_x_deep_px,px,2665,-107.97367268786381,107.97413145291392,136.33091251883954,0.6536810619570222,2.0,False
redetect_cumulative,redetect_cumulative_y_deep_px,px,2665,-11.961212112862684,12.244399501268662,13.959100640217503,-0.30617344631681914,2.0,False
redetect_cumulative,redetect_cumulative_angle_deg,deg,2665,-5.04114707062197,5.041842278652395,6.067665384511656,0.7194464812729635,1.0,False
redetect_cumulative,redetect_cumulative_length_px,px,2665,101.05507559774371,101.60118928634955,130.41050237454397,0.6463339541593293,22.16962524654832,False
redetect_cumulative,redetect_cumulative_length_mm,mm,2665,9.116534400009977,9.165801239889541,11.764790872578969,0.6463339541593297,2.0,False
redetect_one_step,redetect_one_step_x_sup_px,px,2665,-0.0067841249857047885,0.6557369566543886,1.2426148881098393,0.9949536266420798,2.0,True
redetect_one_step,redetect_one_step_y_sup_px,px,2665,-0.0028737324226390695,0.16903624000921125,0.2867033901713631,0.9951303622651934,2.0,True
redetect_one_step,redetect_one_step_x_deep_px,px,2665,-0.029242586800612185,3.372742005207715,5.725075081297557,0.9986176668442525,2.0,False
redetect_one_step,redetect_one_step_y_deep_px,px,2665,-0.011568578787432308,0.37199103424610874,0.6048953479589122,0.9925598638379277,2.0,True
redetect_one_step,redetect_one_step_angle_deg,deg,2665,0.0016023645505833543,0.16711230606141475,0.3013109932225762,0.9980618097799612,1.0,True
redetect_one_step,redetect_one_step_length_px,px,2665,0.02647596981789694,3.164068546423519,5.167993935651766,0.9988425848983369,22.16962524654832,True
redetect_one_step,redetect_one_step_length_mm,mm,2665,0.0023884905156002965,0.2854417710029758,0.46622294045826423,0.9988425848983373,2.0,True
