comparison,unit,n,bias,mae,rmse,corr,target_rmse,passes
python_alpha,deg,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,1.0,False
python_alpha_plus_180,deg,2666,175.65472618154539,175.65472618154539,175.71044329726374,0.5684551016812569,1.0,False
negative_python_alpha,deg,2666,-46.77063015753939,46.77063015753939,47.438056305528704,-0.5684551016812569,1.0,False
abs_python_alpha,deg,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,1.0,False
python_alpha_offset_-3,deg,2663,-4.351295531355614,4.69076229815997,6.233991891275459,0.5589132932876234,1.0,False
python_alpha_offset_-2,deg,2664,-4.349286786786787,4.681493993993994,6.220885641785112,0.5628565414444013,1.0,False
python_alpha_offset_-1,deg,2665,-4.347279549718574,4.684615384615385,6.228143773170868,0.5600977968041941,1.0,False
python_alpha_offset_+1,deg,2665,-4.346153846153846,4.677485928705441,6.215720250815488,0.5640420084985343,1.0,False
python_alpha_offset_+2,deg,2664,-4.34740990990991,4.674361861861862,6.2173244948188024,0.5637627387848207,1.0,False
python_alpha_offset_+3,deg,2663,-4.34885467517837,4.6826886969583175,6.2108556375637285,0.5661643921689062,1.0,False
