comparison,n,bias,mae,rmse,corr,target_rmse,passes
final_FL_mm,2666,9.598307395541404,9.598359705308638,10.19869327440696,0.9744513291258572,2.0,False
final_PEN_deg,2666,-4.153521626467462,4.153537014385669,4.260711165755941,0.9792361577445068,1.0,False
final_ANG_deg,2666,-4.153521626467462,4.153537014385669,4.260711165755942,0.9813304573673552,1.0,False
timtrack_alpha_deg,2666,-4.345273818454614,4.6734808702175545,6.201488399133804,0.5684551016812569,1.0,False
timtrack_phi_vs_python_pen_deg,2666,-4.030736856072061,4.424638838452614,5.907106680838279,0.5570789649772782,1.0,False
timtrack_formula_faslen_px,2666,97.55102429044656,108.87677925723747,143.44675757411056,0.5164971115104444,22.16962524654832,False
timtrack_gamma_deep_apo_deg,2666,-0.3635336599899731,0.4082244536678068,0.5261076374632957,0.4805284917574059,1.0,True
timtrack_betha_super_apo_deg,2666,-0.314536950779098,0.4304145962765455,0.5720792909773786,0.1747116206507181,1.0,True
timtrack_super_pos_y1,2666,-1.163150922865866,3.0265255503064994,4.066184574910711,0.0949534864372071,2.0,False
timtrack_super_pos_y2,2666,2.708778054464464,2.843380869787461,3.513589957599102,0.3487528197285703,2.0,False
timtrack_deep_pos_y1,2666,2.524734562018759,4.521345201165132,5.957509324162922,0.2896674566955745,2.0,False
timtrack_deep_pos_y2,2666,7.001044671487157,8.06930448828418,10.022078910906735,0.5310610667252028,2.0,False
