signal,unit,time_window_s,n,bias,mae,rmse,max_abs
FL,mm,0-30,1001,-0.5368764521282025,1.5337934099503852,1.9243801912585352,3.8467728072224077
FL,mm,30-50,667,-1.09627396931518,1.09627396931518,1.2266316660493521,2.525363583864845
FL,mm,50-65,500,-0.21069613557309494,1.2038797080981312,1.3529742450426065,2.2624668969622377
FL,mm,65-80,498,-0.10918241846758639,2.046965734341146,2.279380325012601,3.5404763281962914
PEN,deg,0-30,1001,0.034127514023071154,0.6850033995566556,0.780130348690952,1.4411200084065996
PEN,deg,30-50,667,0.4323578601496472,0.4323578601496472,0.4794414513032231,0.8395116737419315
PEN,deg,50-65,500,0.2759680564969433,0.6881182851349865,0.8250343370210799,1.8480896009773744
PEN,deg,65-80,498,0.443744555732946,1.220546513227272,1.4077476809788363,2.5337559087959676
ANG,deg,0-30,1001,0.08658553272208702,0.6845828311879564,0.7764380412834198,1.2668388472335224
ANG,deg,30-50,667,0.4773669404722952,0.4773669404722952,0.5183974010427559,0.8815440172396762
ANG,deg,50-65,500,0.33436376778108295,0.7012310802876434,0.8475262825039236,1.860077377872699
ANG,deg,65-80,498,0.4853777025400592,1.2173984224373673,1.4080571034016882,2.545390754442913
