x_measurement_variance,FL_bias,FL_mae,FL_rmse,ANG_bias,ANG_mae,ANG_rmse,PEN_bias,PEN_mae,PEN_rmse,forward_x_bias,forward_x_mae,forward_x_rmse
10.0,-1.807588534335,1.926966906106489,2.01047777611809,1.034019752615761,1.0738458901920973,1.1661091283109457,0.9659125860823452,1.008359022809683,1.0945900299420224,1.434747982911669,5.287752043629528,6.701471428456797
25.0,-1.8081684889200655,1.9275324475070148,2.0110530012828995,1.0340212013518553,1.073847481848816,1.1661108747554283,0.9659140348184394,1.008360618673643,1.0945917253478934,1.4251458308142437,5.077839240368174,6.4294777248595905
50.0,-1.8085352935091195,1.9278829399673052,2.0114116809166047,1.0340207687241105,1.073847122906171,1.1661103645026227,0.9659136021906949,1.0083602556324909,1.0945913378532333,1.4045215698811826,4.948842807985979,6.252981628239003
75.0,-1.8086963239005067,1.9280336789657955,2.0115667288810135,1.0340204806063755,1.0738469448185404,1.16611142793759,0.9659133140729598,1.0083600956010743,1.0945920264845317,1.3902268669615694,4.895198335221382,6.173355926936363
100.0,-1.808791611010859,1.9281208748226457,2.0116571332303375,1.034019233377449,1.0738455265339377,1.1661089520096855,0.9659120668440333,1.0083586559882662,1.094590007163528,1.3807443836984705,4.868116578929856,6.129491598826353
150.0,-1.8088962746050898,1.9282144249550972,2.0117516770507664,1.0340210000377053,1.073847101637998,1.1661111726207307,0.9659138335042893,1.0083602598395334,1.0945921024622038,1.3690880262482537,4.846886643625882,6.086697892375761
200.0,-1.8089556631397907,1.928265636200248,2.011804575725243,1.0340206559775311,1.0738465009347022,1.166110477224407,0.9659134894441154,1.0083596626068159,1.0945913047883438,1.3633567452048876,4.844436074431728,6.070920446909675
300.0,-1.8090183146586831,1.9283181916143108,2.011856088672639,1.0340214128141036,1.0738473506430095,1.1661120750131484,0.9659142462806879,1.0083604578443475,1.0945927695902853,1.3593966054682887,4.859123682282451,6.070104984615283
500.0,-1.8090730511574415,1.9283610694407023,2.0118952627130424,1.0340197072587203,1.0738457134730206,1.1661101090136818,0.9659125407253045,1.0083588084966524,1.0945908007928635,1.3643376489104966,4.9128009169118005,6.106777760099573
1000.0,-1.8091247018531753,1.928398112928493,2.0119202919722388,1.034020500648137,1.0738461731927245,1.1661100480256863,0.9659133341147214,1.008359292208168,1.0945908995215152,1.3921034451830057,5.05543592762569,6.217726141224906
