frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,lateral_span_score,phi_score,pennation_score,boundary_score,length_px,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin_px,length_bin,cluster_id
0,grid_scan,24.7,24.69999999999999,848.1741620874317,145.0190838946188,-48.174154387582576,557.2932465021634,400.00000384992455,351.1561651983911,,,0.6445482222912051,0.1797752808988764,0.4404494382022472,1.0,0.89,1.0,1.0,0.99875,1.0,1.0,0.8181368358620887,986.6155733624644,,24.638449759060837,19.78373564781231,48.17416208743168,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
1,grid_scan,24.7,24.69999999999999,848.1014783947403,145.0796955268478,-48.101465131093576,557.2869940484253,400.00000663182334,351.18334478763654,,,0.6442702632585343,0.18202247191011237,0.4404494382022472,1.0,0.89,0.9863013698630136,1.0,0.99875,1.0,1.0,0.8183846450777019,986.4555605493974,,24.658999037706522,19.78373564781231,48.1014783947403,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
7,grid_scan,24.8,24.799999999999983,854.2047650255384,145.0753280032735,-54.20476812779914,564.8194606853598,399.99999844886963,354.94739434431665,,,0.6386523762381591,0.14123006833712984,0.4533029612756264,1.0,0.878,0.934931506849315,1.0,0.99875,1.0,1.0,0.7978352148540833,1000.6962660292592,,24.758999037706523,19.09577165224384,54.20476812779914,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
10,grid_scan,24.7,24.69999999999999,848.3292448580613,144.88648904100063,-48.32926807322652,557.3033260775628,399.9999883924174,351.09490755928175,,,0.6385986144114454,0.1752808988764045,0.42921348314606744,1.0,0.89,0.9759450171821306,1.0,0.99875,1.0,1.0,0.8176082653462529,986.9570083257886,,24.634300856571816,19.771477469443145,48.32926807322652,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
5,grid_scan,24.7,24.69999999999999,856.7912825202982,144.87678590275112,-56.791295679494304,565.0778232420788,399.99999342040195,354.97730457241494,,,0.636427431905043,0.13043478260869565,0.4439359267734554,1.0,0.874,0.9965753424657534,1.0,0.99875,1.0,1.0,0.7892829541480872,1005.585421021619,,24.634300856571816,18.99577165224384,56.791295679494304,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
6,grid_scan,24.7,24.69999999999999,856.7156385712123,144.93882497389336,-56.71562306704361,565.0702644710101,400.00000775208434,355.0045447224517,,,0.6341526407075727,0.12128146453089245,0.4416475972540046,1.0,0.874,1.0,1.0,0.99875,1.0,1.0,0.789531805311055,1005.4188660414003,,24.667199228149595,18.99577165224384,56.71563857121225,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
3,grid_scan,24.8,24.799999999999983,854.6066743419052,144.94215757914742,-54.60665032014417,565.0576940800712,400.00001201088054,354.9999258296093,,,0.6335567788588965,0.13439635535307518,0.44646924829157175,1.0,0.878,0.9057239057239057,1.0,0.99875,1.0,1.0,0.796500270709763,1001.5817159635434,,24.754850132446414,19.083544808429522,54.606674341905205,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
4,grid_scan,24.7,24.69999999999999,857.0357935783369,144.87490382192652,-57.035791558506,565.3008592224322,400.0000010099154,355.0878815221794,,,0.6329521841891654,0.12356979405034325,0.43707093821510296,1.0,0.874,1.0,1.0,0.99875,1.0,1.0,0.7884792884817678,1006.1236736748663,,24.646649944660833,18.98354480842952,57.03579357833689,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
9,grid_scan,24.7,24.69999999999999,857.0338285435062,144.87650778326156,-57.033845871440896,565.3006644526656,399.9999913360326,355.0885861179636,,,0.6325174655693355,0.11670480549199085,0.43935926773455375,1.0,0.874,1.0,1.0,0.99875,1.0,1.0,0.7884856873683475,1006.1193691215418,,24.634300856571816,18.98354480842952,57.033845871440896,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
2,grid_scan,24.8,24.799999999999983,854.6066743419052,144.94215757914742,-54.60665032014417,565.0576940800712,400.00001201088054,354.9999258296093,,,0.6317358264217633,0.13211845102505695,0.4419134396355353,1.0,0.878,0.9093959731543624,1.0,0.99875,1.0,1.0,0.796500270709763,1001.5817159635434,,24.754850132446414,19.083544808429522,54.606674341905205,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
8,grid_scan,24.7,24.69999999999999,857.0321350551427,144.87650972512859,-57.03215074007254,565.2991078035958,399.9999921575351,355.0878087643622,,,0.6264992146244943,0.11441647597254005,0.4233409610983982,1.0,0.874,1.0,1.0,0.99875,1.0,1.0,0.7884912564997739,1006.1156392489709,,24.634300856571816,18.971318486970624,57.03215074007254,24.75,400.0,1000.0,1000.0,a24.75_x400_lp1000
